Vardas              Pavarde             ND1    ND2    ND3    ND4    ND5    ND6    ND7    ND8    ND9    Egz.   
Vardas55            Pavarde55           10     6      3      4      10     7      6      1      7      9      
Vardas56            Pavarde56           4      4      4      10     5      6      7      3      1      5      
Vardas57            Pavarde57           10     4      6      8      4      4      4      5      6      5      
Vardas58            Pavarde58           7      5      3      9      10     4      7      5      4      5      
Vardas59            Pavarde59           5      7      8      1      7      2      8      5      6      1      
Vardas60            Pavarde60           9      7      4      6      4      9      10     9      3      5      
Vardas61            Pavarde61           5      1      1      7      9      2      10     7      7      6      
Vardas62            Pavarde62           1      3      2      8      3      10     1      3      5      6      
Vardas63            Pavarde63           3      5      4      6      1      9      6      10     7      10     
Vardas64            Pavarde64           6      3      10     8      10     10     9      1      6      7      
Vardas65            Pavarde65           6      6      2      10     5      6      9      7      8      5      
Vardas66            Pavarde66           2      10     10     7      5      10     5      2      1      1      
Vardas67            Pavarde67           1      6      5      10     3      4      9      3      7      4      
Vardas68            Pavarde68           10     2      1      3      1      7      8      2      3      6      
Vardas69            Pavarde69           6      6      5      7      2      2      8      6      3      8      
Vardas70            Pavarde70           8      4      3      3      5      7      8      4      10     4      
Vardas71            Pavarde71           9      1      8      2      3      10     8      10     1      3      
Vardas72            Pavarde72           5      9      8      2      5      2      3      3      9      7      
Vardas73            Pavarde73           10     9      10     5      3      5      3      10     10     2      
Vardas74            Pavarde74           6      8      4      3      9      8      2      9      10     3      
Vardas75            Pavarde75           1      6      3      10     7      7      3      1      1      2      
Vardas76            Pavarde76           8      1      10     9      7      2      3      9      3      4      
Vardas77            Pavarde77           3      8      4      6      2      4      6      4      2      5      
Vardas78            Pavarde78           8      4      2      10     6      9      8      8      9      9      
Vardas79            Pavarde79           1      8      1      10     7      7      3      1      5      8      
Vardas80            Pavarde80           5      9      5      10     7      9      3      2      4      7      
Vardas81            Pavarde81           8      1      10     9      2      7      9      1      5      10     
Vardas82            Pavarde82           1      5      7      1      7      3      9      1      6      4      
Vardas83            Pavarde83           8      2      4      5      1      10     3      3      3      6      
Vardas84            Pavarde84           9      10     8      1      1      1      7      9      1      1      
Vardas85            Pavarde85           8      2      8      7      4      4      1      3      4      6      
Vardas86            Pavarde86           8      4      9      1      8      9      1      2      2      3      
Vardas87            Pavarde87           7      10     5      6      10     5      6      9      5      8      
Vardas88            Pavarde88           9      5      1      6      3      5      1      3      7      7      
Vardas89            Pavarde89           1      6      10     9      6      9      8      8      10     1      
Vardas90            Pavarde90           3      6      2      7      3      4      3      8      2      9      
Vardas91            Pavarde91           7      10     3      8      8      5      4      10     10     2      
Vardas92            Pavarde92           6      2      7      7      10     4      5      9      2      6      
Vardas93            Pavarde93           1      6      3      3      4      5      6      8      4      9      
Vardas94            Pavarde94           6      1      10     1      10     7      7      3      9      6      
Vardas95            Pavarde95           6      6      9      2      3      1      7      9      9      10     
Vardas96            Pavarde96           5      2      5      7      4      8      4      1      5      7      
Vardas97            Pavarde97           9      1      7      8      3      8      7      9      2      5      
Vardas98            Pavarde98           7      7      2      5      10     4      5      7      5      6      
Vardas99            Pavarde99           6      1      7      3      7      2      10     10     2      7      
Vardas100           Pavarde100          9      2      9      5      9      1      5      7      1      6      
Vardas101           Pavarde101          3      7      3      5      4      2      10     8      10     4      
Vardas102           Pavarde102          5      8      6      3      10     3      4      1      4      7      
Vardas103           Pavarde103          7      2      8      5      9      7      7      3      5      8      
Vardas104           Pavarde104          10     8      4      2      4      7      6      3      7      7      
Vardas105           Pavarde105          9      3      4      4      6      3      8      9      4      4      
Vardas106           Pavarde106          6      2      7      3      9      5      1      5      9      8      
Vardas107           Pavarde107          4      9      7      10     2      10     8      9      4      4      
Vardas108           Pavarde108          6      4      9      9      10     4      4      9      4      9      
Vardas109           Pavarde109          2      9      10     9      4      8      5      6      5      6      
Vardas110           Pavarde110          3      8      6      1      7      9      10     7      8      6      
Vardas111           Pavarde111          10     3      9      10     1      8      3      4      9      7      
Vardas112           Pavarde112          4      10     7      4      10     2      3      7      10     9      
Vardas113           Pavarde113          2      4      7      9      5      5      7      4      1      4      
Vardas114           Pavarde114          9      3      6      10     2      9      9      7      4      7      
Vardas115           Pavarde115          3      8      9      1      3      8      5      5      6      4      
Vardas116           Pavarde116          4      7      7      2      7      1      8      4      7      1      
Vardas117           Pavarde117          9      7      3      7      6      6      5      5      2      10     
Vardas118           Pavarde118          3      6      7      1      9      1      9      3      6      4      
Vardas119           Pavarde119          6      1      3      2      4      1      5      1      6      1      
Vardas120           Pavarde120          3      5      7      7      1      5      3      7      9      6      
Vardas121           Pavarde121          6      3      4      5      4      2      5      4      6      2      
Vardas122           Pavarde122          9      1      2      1      4      7      4      10     8      9      
Vardas123           Pavarde123          10     2      3      9      9      5      3      1      1      3      
Vardas124           Pavarde124          8      9      5      3      3      10     4      9      3      9      
Vardas125           Pavarde125          1      2      1      4      4      7      1      7      6      10     
Vardas126           Pavarde126          6      6      1      10     6      9      5      10     1      7      
Vardas127           Pavarde127          4      1      5      10     3      9      10     9      10     2      
Vardas128           Pavarde128          9      10     5      10     5      9      8      7      5      3      
Vardas129           Pavarde129          8      2      10     1      4      5      9      8      4      2      
Vardas130           Pavarde130          6      9      4      3      9      6      3      8      4      2      
Vardas131           Pavarde131          1      5      3      6      6      8      6      3      6      2      
Vardas132           Pavarde132          5      4      4      5      4      7      9      4      6      5      
Vardas133           Pavarde133          7      3      5      10     5      3      8      8      2      3      
Vardas134           Pavarde134          1      5      7      4      10     2      3      7      4      8      
Vardas135           Pavarde135          8      9      1      1      5      4      9      3      10     6      
Vardas136           Pavarde136          9      6      9      4      6      3      8      3      2      2      
Vardas137           Pavarde137          5      3      6      4      6      7      5      8      3      9      
Vardas138           Pavarde138          5      10     9      8      1      3      3      1      7      2      
Vardas139           Pavarde139          7      8      8      5      3      3      7      2      7      1      
Vardas140           Pavarde140          3      3      3      8      6      8      4      1      7      6      
Vardas141           Pavarde141          1      1      8      1      8      10     5      1      10     3      
Vardas142           Pavarde142          4      6      10     1      2      4      5      1      6      3      
Vardas143           Pavarde143          1      8      6      3      6      1      10     1      3      6      
Vardas144           Pavarde144          9      5      8      6      7      8      5      1      10     4      
Vardas145           Pavarde145          4      3      2      5      6      3      9      10     3      4      
Vardas146           Pavarde146          3      5      3      8      7      10     10     8      1      5      
Vardas147           Pavarde147          3      9      1      3      6      8      2      10     8      1      
Vardas148           Pavarde148          5      3      5      8      8      10     3      6      10     7      
Vardas149           Pavarde149          1      4      2      3      3      8      3      2      6      5      
Vardas150           Pavarde150          8      10     5      9      4      10     6      5      1      5      
Vardas151           Pavarde151          7      7      8      2      5      5      1      9      2      2      
Vardas152           Pavarde152          5      2      7      6      4      9      6      8      3      1      
Vardas153           Pavarde153          2      10     2      8      10     6      7      5      2      9      
Vardas154           Pavarde154          2      9      6      9      10     2      3      2      10     4      
Vardas155           Pavarde155          6      6      7      2      4      2      3      9      10     5      
Vardas156           Pavarde156          1      3      6      2      1      8      9      9      4      1      
Vardas157           Pavarde157          8      5      9      5      3      10     6      7      1      7      
Vardas158           Pavarde158          10     8      4      6      2      7      8      4      5      9      
Vardas159           Pavarde159          10     5      1      5      9      3      2      9      2      8      
Vardas160           Pavarde160          9      9      2      7      3      5      8      10     1      9      
Vardas161           Pavarde161          8      3      8      1      10     9      8      9      2      2      
Vardas162           Pavarde162          7      1      9      10     8      9      2      1      7      3      
Vardas163           Pavarde163          8      6      3      10     4      7      6      2      6      8      
Vardas164           Pavarde164          2      3      10     9      6      10     10     3      8      3      
Vardas165           Pavarde165          6      7      6      6      6      3      4      9      5      3      
Vardas166           Pavarde166          4      5      8      6      6      3      3      1      6      10     
Vardas167           Pavarde167          10     9      5      10     10     10     1      9      2      10     
Vardas168           Pavarde168          1      9      8      6      5      3      10     8      4      5      
Vardas169           Pavarde169          2      7      1      9      4      6      4      8      8      1      
Vardas170           Pavarde170          8      7      10     4      8      9      5      8      7      6      
Vardas171           Pavarde171          10     9      6      7      5      10     2      6      10     5      
Vardas172           Pavarde172          10     1      1      2      2      4      7      5      2      4      
Vardas173           Pavarde173          5      1      3      6      6      10     4      10     8      2      
Vardas174           Pavarde174          7      9      1      2      5      7      2      8      2      3      
Vardas175           Pavarde175          2      4      3      4      5      6      10     2      2      3      
Vardas176           Pavarde176          7      9      5      9      4      10     9      8      9      8      
Vardas177           Pavarde177          1      5      6      1      6      2      7      9      10     9      
Vardas178           Pavarde178          3      3      2      8      7      6      3      8      9      5      
Vardas179           Pavarde179          10     6      5      4      4      8      5      4      7      3      
Vardas180           Pavarde180          1      8      9      8      8      6      10     7      5      1      
Vardas181           Pavarde181          7      9      3      10     6      1      5      9      8      6      
Vardas182           Pavarde182          5      9      3      9      4      6      6      8      2      5      
Vardas183           Pavarde183          2      2      2      10     10     1      6      1      7      2      
Vardas184           Pavarde184          1      5      10     3      4      6      4      1      6      3      
Vardas185           Pavarde185          6      10     2      8      8      5      5      5      5      6      
Vardas186           Pavarde186          9      6      10     10     6      1      3      3      1      1      
Vardas187           Pavarde187          6      1      6      5      5      9      2      8      9      7      
Vardas188           Pavarde188          3      6      6      4      5      5      10     10     10     4      
Vardas189           Pavarde189          7      8      10     6      10     7      6      4      1      6      
Vardas190           Pavarde190          4      6      8      9      10     3      10     4      2      10     
Vardas191           Pavarde191          10     4      8      8      9      2      4      9      3      3      
Vardas192           Pavarde192          2      10     3      3      5      4      9      3      7      9      
Vardas193           Pavarde193          10     10     4      10     1      6      2      2      9      5      
Vardas194           Pavarde194          3      10     1      10     9      9      2      3      7      4      
Vardas195           Pavarde195          7      9      3      1      1      10     4      2      4      2      
Vardas196           Pavarde196          10     3      4      6      4      6      3      5      7      3      
Vardas197           Pavarde197          2      9      4      2      9      3      10     2      7      9      
Vardas198           Pavarde198          5      3      7      10     4      9      1      9      10     4      
Vardas199           Pavarde199          1      2      8      4      9      4      9      3      10     7      
Vardas200           Pavarde200          5      1      5      10     4      5      2      4      6      10     
Vardas201           Pavarde201          4      3      3      10     4      8      10     4      6      2      
Vardas202           Pavarde202          9      6      5      8      1      5      1      1      7      1      
Vardas203           Pavarde203          7      3      3      4      2      7      8      6      10     6      
Vardas204           Pavarde204          5      3      10     9      4      3      6      5      6      2      
Vardas205           Pavarde205          6      6      9      2      3      2      6      6      4      4      
Vardas206           Pavarde206          6      1      8      8      6      2      6      5      7      5      
Vardas207           Pavarde207          10     3      9      9      2      4      1      9      1      8      
Vardas208           Pavarde208          2      8      3      3      10     8      4      7      5      9      
Vardas209           Pavarde209          3      2      9      10     9      6      1      5      1      9      
Vardas210           Pavarde210          1      10     4      2      1      7      7      3      5      7      
Vardas211           Pavarde211          1      7      5      5      1      6      4      6      4      8      
Vardas212           Pavarde212          4      6      9      5      8      10     10     10     6      10     
Vardas213           Pavarde213          1      8      2      4      1      4      10     8      6      6      
Vardas214           Pavarde214          6      8      2      2      5      4      9      8      9      3      
Vardas215           Pavarde215          8      3      10     6      7      7      7      6      7      2      
Vardas216           Pavarde216          8      7      2      1      2      2      4      1      1      9      
Vardas217           Pavarde217          6      9      7      10     10     1      3      1      10     4      
Vardas218           Pavarde218          3      7      6      2      5      4      9      1      1      7      
Vardas219           Pavarde219          5      8      5      8      8      6      9      1      6      2      
Vardas220           Pavarde220          2      3      10     10     4      1      10     9      3      1      
Vardas221           Pavarde221          2      5      8      9      9      2      2      7      4      2      
Vardas222           Pavarde222          5      10     2      9      7      1      4      8      4      1      
Vardas223           Pavarde223          9      5      5      10     4      9      2      5      7      5      
Vardas224           Pavarde224          5      10     1      4      8      9      5      9      7      1      
Vardas225           Pavarde225          2      1      10     5      1      7      6      4      4      1      
Vardas226           Pavarde226          6      4      5      1      5      10     9      6      6      7      
Vardas227           Pavarde227          2      2      6      3      6      3      1      2      3      8      
Vardas228           Pavarde228          2      4      10     4      9      1      10     6      4      5      
Vardas229           Pavarde229          6      10     10     2      2      4      3      10     9      10     
Vardas230           Pavarde230          6      1      1      3      5      6      5      5      10     9      
Vardas231           Pavarde231          4      1      4      4      6      4      4      5      9      9      
Vardas232           Pavarde232          1      6      10     10     7      1      3      1      2      4      
Vardas233           Pavarde233          10     9      6      1      1      10     8      7      6      7      
Vardas234           Pavarde234          5      10     10     1      5      5      4      10     2      3      
Vardas235           Pavarde235          10     2      10     10     4      7      2      6      9      6      
Vardas236           Pavarde236          1      9      4      6      1      7      5      8      3      3      
Vardas237           Pavarde237          5      10     2      4      2      6      10     5      7      1      
Vardas238           Pavarde238          9      6      5      9      5      8      7      9      5      5      
Vardas239           Pavarde239          6      6      3      9      3      3      5      8      3      10     
Vardas240           Pavarde240          2      9      1      3      2      2      10     3      8      6      
Vardas241           Pavarde241          4      7      1      8      5      8      7      1      8      1      
Vardas242           Pavarde242          5      3      8      10     3      1      4      10     10     6      
Vardas243           Pavarde243          1      1      4      1      3      7      4      4      2      1      
Vardas244           Pavarde244          1      5      9      1      4      3      10     10     5      9      
Vardas245           Pavarde245          2      2      1      10     1      4      10     6      5      9      
Vardas246           Pavarde246          4      5      9      7      5      3      6      10     6      7      
Vardas247           Pavarde247          2      6      3      1      8      6      5      10     7      10     
Vardas248           Pavarde248          8      8      1      1      7      3      6      6      8      10     
Vardas249           Pavarde249          4      1      4      4      10     10     6      7      1      3      
Vardas250           Pavarde250          3      2      8      5      4      8      2      9      7      8      
Vardas251           Pavarde251          8      4      7      10     6      4      4      1      9      1      
Vardas252           Pavarde252          10     5      4      3      10     3      4      6      9      4      
Vardas253           Pavarde253          8      3      6      8      9      1      7      2      9      3      
Vardas254           Pavarde254          9      8      8      5      9      4      10     2      4      1      
Vardas255           Pavarde255          3      6      7      8      10     6      10     4      3      10     
Vardas256           Pavarde256          7      3      4      4      10     2      5      6      5      5      
Vardas257           Pavarde257          10     5      3      9      1      3      2      1      5      8      
Vardas258           Pavarde258          1      7      5      9      4      4      4      5      7      7      
Vardas259           Pavarde259          6      6      1      9      1      10     2      7      7      6      
Vardas260           Pavarde260          2      8      10     6      6      10     8      10     2      2      
Vardas261           Pavarde261          9      4      10     3      2      5      8      6      1      5      
Vardas262           Pavarde262          4      6      2      4      6      4      5      7      1      3      
Vardas263           Pavarde263          4      4      10     5      1      7      7      10     8      8      
Vardas264           Pavarde264          2      8      2      3      10     3      10     10     10     10     
Vardas265           Pavarde265          6      3      6      7      8      3      10     2      10     2      
Vardas266           Pavarde266          6      5      7      5      10     7      4      6      7      3      
Vardas267           Pavarde267          3      10     1      6      4      2      9      3      1      8      
Vardas268           Pavarde268          3      6      3      10     4      10     2      6      4      3      
Vardas269           Pavarde269          7      9      10     6      6      9      2      9      6      10     
Vardas270           Pavarde270          1      10     9      3      6      5      5      4      7      5      
Vardas271           Pavarde271          3      1      3      7      2      6      7      6      1      10     
Vardas272           Pavarde272          10     10     10     9      5      5      9      8      5      4      
Vardas273           Pavarde273          8      8      6      8      10     1      2      6      6      9      
Vardas274           Pavarde274          3      10     9      5      7      3      2      3      8      3      
Vardas275           Pavarde275          4      7      4      5      6      10     10     6      7      4      
Vardas276           Pavarde276          10     4      3      5      2      3      7      5      8      2      
Vardas277           Pavarde277          3      10     1      4      6      9      6      8      3      5      
Vardas278           Pavarde278          2      8      1      5      3      8      4      2      4      2      
Vardas279           Pavarde279          7      5      8      10     1      1      4      9      5      3      
Vardas280           Pavarde280          10     8      3      2      3      10     3      10     7      5      
Vardas281           Pavarde281          4      8      3      6      4      5      6      9      8      9      
Vardas282           Pavarde282          1      4      5      8      5      7      8      8      5      2      
Vardas283           Pavarde283          1      6      1      5      9      3      4      1      4      3      
Vardas284           Pavarde284          8      7      10     10     5      6      4      10     4      1      
Vardas285           Pavarde285          10     4      6      6      3      3      2      10     10     8      
Vardas286           Pavarde286          4      2      5      4      8      3      9      4      6      4      
Vardas287           Pavarde287          6      3      1      7      2      7      2      7      6      6      
Vardas288           Pavarde288          9      5      1      6      2      4      8      3      5      10     
Vardas289           Pavarde289          2      10     1      6      6      9      8      4      4      5      
Vardas290           Pavarde290          9      9      7      1      5      10     7      9      8      2      
Vardas291           Pavarde291          6      6      8      6      2      9      1      1      3      8      
Vardas292           Pavarde292          10     4      7      1      9      2      1      9      7      4      
Vardas293           Pavarde293          5      6      4      4      6      10     5      3      8      3      
Vardas294           Pavarde294          6      3      10     6      1      3      6      1      4      1      
Vardas295           Pavarde295          8      3      6      7      5      7      8      5      7      7      
Vardas296           Pavarde296          10     1      4      3      4      9      3      1      3      2      
Vardas297           Pavarde297          3      1      5      4      8      5      7      5      7      10     
Vardas298           Pavarde298          5      7      4      1      3      9      7      2      5      3      
Vardas299           Pavarde299          10     7      5      3      1      9      4      5      1      6      
Vardas300           Pavarde300          7      3      8      1      8      5      7      4      10     5      
Vardas301           Pavarde301          5      6      1      9      6      5      9      4      9      5      
Vardas302           Pavarde302          6      8      1      1      1      2      1      4      6      1      
Vardas303           Pavarde303          1      2      5      9      4      2      5      2      8      6      
Vardas304           Pavarde304          7      2      2      9      2      9      4      2      3      2      
Vardas305           Pavarde305          7      10     1      7      10     1      10     2      6      6      
Vardas306           Pavarde306          4      9      9      8      7      5      2      3      6      9      
Vardas307           Pavarde307          9      4      2      2      3      6      10     6      7      2      
Vardas308           Pavarde308          9      5      2      9      2      3      2      3      7      9      
Vardas309           Pavarde309          8      10     7      9      8      3      3      1      8      10     
Vardas310           Pavarde310          1      8      4      4      9      8      9      8      3      8      
Vardas311           Pavarde311          2      3      2      5      3      5      9      4      8      5      
Vardas312           Pavarde312          3      5      5      9      5      4      4      9      6      3      
Vardas313           Pavarde313          9      6      10     4      9      8      1      10     7      5      
Vardas314           Pavarde314          7      10     9      8      6      1      3      7      5      10     
Vardas315           Pavarde315          1      9      6      7      9      3      2      4      1      9      
Vardas316           Pavarde316          6      1      6      5      4      5      4      6      6      1      
Vardas317           Pavarde317          2      4      2      10     1      8      1      5      4      7      
Vardas318           Pavarde318          6      6      7      4      5      5      6      8      9      6      
Vardas319           Pavarde319          7      4      7      2      1      2      8      4      10     3      
Vardas320           Pavarde320          6      1      6      8      1      9      5      3      5      10     
Vardas321           Pavarde321          9      3      5      7      6      9      1      3      7      1      
Vardas322           Pavarde322          8      5      7      6      6      7      10     4      2      9      
Vardas323           Pavarde323          8      8      9      6      5      1      4      1      5      8      
Vardas324           Pavarde324          10     3      10     6      1      7      5      2      9      3      
Vardas325           Pavarde325          4      9      9      10     6      4      8      5      9      10     
Vardas326           Pavarde326          5      7      7      6      2      3      6      7      3      1      
Vardas327           Pavarde327          6      2      5      8      7      6      4      3      9      5      
Vardas328           Pavarde328          7      2      3      5      4      8      1      1      5      9      
Vardas329           Pavarde329          10     9      7      8      4      8      10     2      4      2      
Vardas330           Pavarde330          2      2      5      8      9      4      5      2      6      3      
Vardas331           Pavarde331          6      5      7      10     9      10     10     9      10     4      
Vardas332           Pavarde332          10     2      2      6      1      8      6      3      9      9      
Vardas333           Pavarde333          4      10     10     1      9      10     4      4      2      1      
Vardas334           Pavarde334          6      9      5      4      1      6      3      10     6      5      
Vardas335           Pavarde335          3      5      8      6      1      8      3      6      10     1      
Vardas336           Pavarde336          6      6      2      8      8      1      7      1      4      10     
Vardas337           Pavarde337          1      1      1      8      5      1      3      7      10     8      
Vardas338           Pavarde338          3      2      5      10     9      5      10     2      2      1      
Vardas339           Pavarde339          2      9      6      6      8      5      6      5      5      9      
Vardas340           Pavarde340          6      8      1      6      7      5      6      9      4      7      
Vardas341           Pavarde341          8      6      10     2      8      9      8      7      10     1      
Vardas342           Pavarde342          9      3      10     5      8      7      1      3      3      8      
Vardas343           Pavarde343          3      1      5      4      6      3      10     4      3      3      
Vardas344           Pavarde344          10     10     1      10     4      8      8      1      6      9      
Vardas345           Pavarde345          4      4      1      3      10     1      1      1      3      6      
Vardas346           Pavarde346          8      8      6      4      3      3      8      2      8      10     
Vardas347           Pavarde347          7      8      9      7      9      4      6      8      5      1      
Vardas348           Pavarde348          6      8      6      8      2      8      8      4      10     3      
Vardas349           Pavarde349          1      7      2      8      2      4      1      9      7      10     
Vardas350           Pavarde350          8      3      9      8      9      7      2      6      6      8      
Vardas351           Pavarde351          6      1      7      4      1      10     1      10     3      10     
Vardas352           Pavarde352          2      4      8      5      3      1      8      3      1      5      
Vardas353           Pavarde353          5      10     9      3      9      8      10     10     3      5      
Vardas354           Pavarde354          9      1      8      5      6      10     4      8      9      9      
Vardas355           Pavarde355          9      3      4      8      7      6      8      7      1      10     
Vardas356           Pavarde356          1      5      9      1      7      7      8      8      9      3      
Vardas357           Pavarde357          5      7      5      4      4      10     5      9      9      3      
Vardas358           Pavarde358          7      7      7      2      4      4      10     3      10     10     
Vardas359           Pavarde359          2      2      6      10     2      4      8      2      4      6      
Vardas360           Pavarde360          6      10     5      10     3      8      1      7      6      1      
Vardas361           Pavarde361          1      5      7      8      8      2      3      7      4      2      
Vardas362           Pavarde362          8      7      5      3      6      8      9      5      9      2      
Vardas363           Pavarde363          3      4      1      7      5      5      4      7      3      1      
Vardas364           Pavarde364          7      3      7      5      2      5      6      4      1      9      
Vardas365           Pavarde365          7      9      5      3      3      2      1      1      9      1      
Vardas366           Pavarde366          4      1      7      6      7      1      10     2      10     2      
Vardas367           Pavarde367          2      8      7      9      3      10     3      8      6      5      
Vardas368           Pavarde368          9      4      3      3      7      6      7      7      8      5      
Vardas369           Pavarde369          7      2      5      5      9      3      6      9      4      7      
Vardas370           Pavarde370          2      7      4      10     5      6      10     9      6      7      
Vardas371           Pavarde371          4      4      10     8      6      6      5      4      4      3      
Vardas372           Pavarde372          8      1      6      4      5      4      6      2      4      1      
Vardas373           Pavarde373          10     6      8      4      7      4      1      6      5      6      
Vardas374           Pavarde374          4      8      1      4      7      9      9      2      2      3      
Vardas375           Pavarde375          4      2      5      1      7      1      4      3      5      8      
Vardas376           Pavarde376          5      4      5      2      9      1      8      2      9      2      
Vardas377           Pavarde377          9      2      1      10     5      7      8      6      8      9      
Vardas378           Pavarde378          8      3      2      4      3      9      4      9      3      10     
Vardas379           Pavarde379          6      7      6      2      1      4      2      8      7      2      
Vardas380           Pavarde380          1      6      6      1      7      10     7      4      7      7      
Vardas381           Pavarde381          4      4      9      8      9      2      6      5      10     8      
Vardas382           Pavarde382          4      7      6      9      10     8      5      3      7      1      
Vardas383           Pavarde383          5      7      8      10     7      6      1      6      1      8      
Vardas384           Pavarde384          2      7      3      2      4      2      5      9      6      6      
Vardas385           Pavarde385          8      1      2      5      10     3      3      6      6      9      
Vardas386           Pavarde386          8      2      6      8      3      4      3      5      9      4      
Vardas387           Pavarde387          2      2      2      7      4      5      10     10     5      7      
Vardas388           Pavarde388          6      4      7      9      8      8      2      10     3      7      
Vardas389           Pavarde389          9      1      10     4      10     2      9      2      6      10     
Vardas390           Pavarde390          7      10     1      8      6      6      4      7      6      8      
Vardas391           Pavarde391          3      3      1      9      1      9      9      2      10     1      
Vardas392           Pavarde392          10     8      3      9      3      2      10     2      6      8      
Vardas393           Pavarde393          1      2      7      3      2      4      1      5      10     8      
Vardas394           Pavarde394          5      2      10     7      2      10     7      10     2      7      
Vardas395           Pavarde395          3      3      4      5      2      7      9      1      10     4      
Vardas396           Pavarde396          10     10     7      6      4      8      9      4      5      10     
Vardas397           Pavarde397          3      9      3      2      7      5      4      4      6      7      
Vardas398           Pavarde398          10     8      9      3      5      10     1      5      3      10     
Vardas399           Pavarde399          8      2      1      4      10     5      4      10     10     8      
Vardas400           Pavarde400          10     5      8      2      6      6      6      1      9      4      
Vardas401           Pavarde401          7      8      3      6      3      7      7      5      1      1      
Vardas402           Pavarde402          7      10     3      7      6      2      3      9      1      5      
Vardas403           Pavarde403          8      2      9      7      4      6      2      1      7      3      
Vardas404           Pavarde404          4      5      10     7      10     4      5      9      9      8      
Vardas405           Pavarde405          9      5      9      3      3      4      4      8      4      7      
